         10155 function calls (9391 primitive calls) in 0.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.108    0.108 /Users/vedantthakkar/Desktop/MLOPs/ms-potts-mlops/src/ms_potts/retriever_who.py:63(embed_query)
      2/1    0.000    0.000    0.108    0.108 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:522(encode)
        1    0.000    0.000    0.103    0.103 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:751(forward)
    116/3    0.000    0.000    0.103    0.034 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
    116/3    0.000    0.000    0.103    0.034 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1755(_call_impl)
        1    0.000    0.000    0.089    0.089 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Transformer.py:434(forward)
        1    0.000    0.000    0.089    0.089 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:900(forward)
        1    0.002    0.002    0.042    0.042 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:148(forward)
        3    0.000    0.000    0.034    0.011 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/sparse.py:189(forward)
        3    0.000    0.000    0.034    0.011 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:2437(embedding)
        3    0.034    0.011    0.034    0.011 {built-in method torch.embedding}
        1    0.024    0.024    0.027    0.027 /opt/miniconda3/lib/python3.13/site-packages/transformers/modeling_attn_mask_utils.py:429(_prepare_4d_attention_mask_for_sdpa)
        1    0.000    0.000    0.016    0.016 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:618(forward)
        6    0.000    0.000    0.016    0.003 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:540(forward)
        1    0.004    0.004    0.010    0.010 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Pooling.py:137(forward)
       37    0.000    0.000    0.010    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/linear.py:124(forward)
       37    0.010    0.000    0.010    0.000 {built-in method torch._C._nn.linear}
        6    0.000    0.000    0.009    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:472(forward)
        6    0.000    0.000    0.008    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:331(forward)
        6    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/pytorch_utils.py:178(apply_chunking_to_forward)
        6    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:605(feed_forward_chunk)
       13    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/normalization.py:216(forward)
       13    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:2889(layer_norm)
       13    0.007    0.001    0.007    0.001 {built-in method torch.layer_norm}
        6    0.000    0.000    0.004    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:505(forward)
        1    0.000    0.000    0.004    0.004 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Normalize.py:13(forward)
        1    0.000    0.000    0.004    0.004 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:5456(normalize)
        6    0.004    0.001    0.004    0.001 {built-in method torch._C._nn.scaled_dot_product_attention}
        1    0.000    0.000    0.004    0.004 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:710(forward)
        1    0.003    0.003    0.003    0.003 {built-in method torch.all}
      109    0.003    0.000    0.003    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        6    0.000    0.000    0.003    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:518(forward)
        1    0.000    0.000    0.003    0.003 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/util.py:1196(batch_to_device)
        6    0.000    0.000    0.002    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/activations.py:68(forward)
        6    0.002    0.000    0.002    0.000 {built-in method torch._C._nn.gelu}
        1    0.002    0.002    0.002    0.002 {built-in method torch.clamp}
        1    0.000    0.000    0.002    0.002 /opt/miniconda3/lib/python3.13/site-packages/torch/_tensor.py:882(norm)
        1    0.000    0.000    0.002    0.002 /opt/miniconda3/lib/python3.13/site-packages/torch/functional.py:1698(norm)
        1    0.002    0.002    0.002    0.002 {built-in method torch.norm}
